name,learning_rate,hidden_channels,num_layers,lambda_ke,best_val_loss
lr3e-04_hc64_nl3,0.0003,64,3,1.0,0.017837644953812872
lr1e-04_hc64_nl3,0.0001,64,3,1.0,0.02100957291466849
lr3e-04_hc64_nl3_ke2.0,0.0003,64,3,2.0,0.021956941911152432
lr1e-04_hc64_nl3_ke2.0,0.0001,64,3,2.0,0.028207441525799886
lr1e-04_hc64_nl3_ke5.0,0.0001,64,3,5.0,0.040488513452666144
lr3e-04_hc64_nl3_ke5.0,0.0003,64,3,5.0,0.08524833832468305
